Student Number ,Section,Age,Gender,City Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school,General Weighted Average(GWA) - College 1st year 1st Semester,General Weighted Average(GWA) - College 1st year 2nd Semester,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00056,BSIT-1A,20,Male,Pasig,"9,520.00 - 19,040.00",Rizal High School,STEM,90 - 95,1.99  - 1.50,below 3.00,No,
21-00985 ,BSIT-1C,19,Female,others,"9,520.00 - 19,040.00",Arellano University - Andres Bonifacio Campus,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-000323,BSIT-1A,19,Male,Pasig,"below 9,520.00",Eusebio High School,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00298,BSIT-1B,19,Male,Pasig,"38,081.00 - 60,640.00",La Immaculada Concepcion School (LICS),STEM,90 - 95,1.49 - 1.00,1.99  - 1.50,Yes,
21-00990,BSIT-1C,18,Male,others,"19,041.00 - 38,080.00",Buting High School,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,No,
21-00349,BSIT-1B,18,Male,Pasig,"below 9,520.00",St. Augustine College,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00598,BSIT-1A,20,Female,Pasig,"below 9,520.00",NAGPAYONG HIGH SCHOOL,STEM,81 - 84,2.50 - 3.00,1.49 - 1.00,No,
21-00282,BSIT-1A,19,Male,Pasig,"9,520.00 - 19,040.00",RTU,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00206,BSIT-1A,18,Male,Pasig,"below 9,520.00",RTU,STEM,85 - 89,1.99  - 1.50,1.49 - 1.00,No,
20-00363,BSIT-1B,21,Male,Pasig,"below 9,520.00",Buting High School,TVL,85 - 89,1.99  - 1.50,below 3.00,No,
21-00614,BSIT-1B,19,Female,Pasig,"19,041.00 - 38,080.00",RTU,STEM,85 - 89,2.50 - 3.00,1.49 - 1.00,No,
21-00186,BSIT-1B,18,Male,Pasig,"below 9,520.00",Rizal High School,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00919,BSIT-1D,22,Male,Pasig,"below 9,520.00",Rizal High School,STEM,81 - 84,2.50 - 3.00,2.49 - 2.00,Yes,
21-00924,BSIT-1D,22,Female,Pasig,"below 9,520.00",Datamex Institute of Technology,4th year high school,75 - 80,2.49 - 2.00,1.99  - 1.50,No,
21-00919,BSIT-1D,22,Male,Pasig,"below 9,520.00",Rizal High School,STEM,81 - 84,2.50 - 3.00,1.49 - 1.00,Yes,
21-01072,BSIT-1D,22,Female,Pasig,"below 9,520.00",Respcsi,4th year high school,75 - 80,below 3.00,below 3.00,No,
21-00054,BSIT-1A,19,Male,Pasig,"below 9,520.00",AMA,STEM,96 and above,1.99  - 1.50,1.99  - 1.50,No,
21-00322,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",Sagad High School,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00973,BSIT-1C,19,Male,Pasig,"above 60,640.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00334,BSIT-1A,19,Female,Pasig,"9,520.00 - 19,040.00",Kapitolyo High School,STEM,90 - 95,1.99  - 1.50,below 3.00,No,
21-01015,BSIT-1C,18,Female,Pasig,"below 9,520.00",Buting High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,Yes,
21-01043	,BSIT-1C,20,Male,Pasig,"9,520.00 - 19,040.00",AMA,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00943,BSIT-1D,22,Male,Pasig,"9,520.00 - 19,040.00",Sta. Lucia High School,4th year high school,75 - 80,1.99  - 1.50,2.50 - 3.00,No,
21-00500,BSIT-1A,19,Female,Pasig,"9,520.00 - 19,040.00",Sagad High School,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-01110,BSIT-1D,22,Female,Pasig,"9,520.00 - 19,040.00",GATEWAYS INSTITUTE OF SCIENCE AN TECHNOLOGY,4th year high school,85 - 89,1.99  - 1.50,below 3.00,No,
21-00206,BSIT-1A,18,Male,Pasig,"below 9,520.00",RTU,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00257,BSIT-1A,20,Male,Pasig,"9,520.00 - 19,040.00",RTU,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00042,BSIT-1A,20,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.49 - 1.00,2.49 - 2.00,No,
21-00471,BSIT-1A,18,Male,Pasig,"9,520.00 - 19,040.00",NAGPAYONG HIGH SCHOOL,STEM,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00637,BSIT-1B,19,Male,others,"below 9,520.00",PLP,TVL,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00102,BSIT-1A,22,Female,others,"19,041.00 - 38,080.00",Harris Memorial College,STEM,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00339,BSIT-1A,19,Female,Pasig,"below 9,520.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00648,BSIT-1B,19,Male,Pasig,"19,041.00 - 38,080.00",AMA,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,No,
21-00636,BSIT-1A,18,Male,Pasig,"9,520.00 - 19,040.00",Eusebio High School,STEM,85 - 89,1.49 - 1.00,1.99  - 1.50,No,
